time,nnz,nrows
0.0368613,2982640.0,1353760.0
0.0398946,3478200.0,484636.0
0.0274588,2051060.0,363477.0
0.0360136,2525020.0,363477.0
0.0530326,5954150.0,600306.0
0.0232408,3115460.0,400204.0
0.0477175,1822550.0,1941520.0
0.0253321,273578.0,1456140.0
0.048487,7237960.0,1048580.0
0.00911394,840726.0,723680.0
0.00394012,904600.0,361840.0
0.00459283,543376.0,361840.0
0.00378249,281189.0,328901.0
0.0948057,11574700.0,328901.0
0.00480116,369291.0,490051.0
0.00153393,74131.0,247598.0
0.0141438,1875160.0,635216.0
0.00925846,405740.0,75888.0
0.00249945,410800.0,35479.0
0.000647545,5972.0,3858.0
0.000262698,3329.0,3858.0
3.03127e-05,264.0,3858.0
0.000619132,3717.0,2572.0
0.00051837,3114.0,2572.0
0.00015619,698.0,2572.0
0.000254802,1680.0,2572.0
4.1929e-05,299.0,2572.0
3.31093e-05,57.0,2572.0
0.000240679,2352.0,468.0
0.000766516,97732.0,10923.0
0.00190609,36400.0,60434.0
0.000161784,6112.0,3136.0
5.12157e-05,1376.0,1046.0
0.00288603,131071.0,131072.0
3.7746e-05,614.0,1925.0
0.00153019,10965.0,1600.0
0.000983605,11601.0,6152.0
0.00365055,37464.0,958.0
0.00987072,56632.0,958.0
0.00112868,5990.0,7716.0
0.00090164,5869.0,3858.0
0.000429145,3548.0,3858.0
4.77157e-05,288.0,3858.0
0.00658506,514420.0,18360.0
0.0119712,506135.0,17602.0
0.0130199,1007280.0,28924.0
5.71923e-05,1811.0,1770.0
6.06957e-05,1955.0,1770.0
0.00151647,19306.0,12812.0
0.000114218,1024.0,7510.0
0.0413156,4472170.0,457449.0
0.0214512,2816260.0,304966.0
0.0014482,115005.0,40008.0
4.80823e-05,338.0,7804.0
0.00100262,30694.0,7804.0
8.9425e-05,743.0,1142.0
0.000564906,7639.0,7716.0
1.85297e-05,152.0,1418.0
1.53397e-05,6.0,1418.0
0.00242914,18235.0,10460.0
0.00355771,89686.0,691454.0
0.0197792,1427280.0,90672.0
3.2486e-05,131.0,3858.0
4.15823e-05,207.0,215.0
0.000830648,8697.0,2660.0
1.347e-05,39.0,3858.0
0.000273288,3285.0,2572.0
0.000317791,23985.0,2988.0
0.000943063,6066.0,3858.0
0.000568836,4854.0,3858.0
8.32587e-05,475.0,3858.0
0.000570046,3613.0,2572.0
0.000474091,3084.0,2572.0
0.000133401,682.0,2572.0
0.000219116,1584.0,2572.0
3.55593e-05,263.0,2572.0
2.57797e-05,50.0,2572.0
0.00436067,264642.0,15612.0
0.00198773,38814.0,15612.0
0.000379443,14148.0,9595.0
0.00197007,154307.0,19274.0
0.0159869,1179240.0,48785.0
0.00638168,624811.0,32523.0
0.00815311,632582.0,20408.0
0.00425855,189417.0,20408.0
5.32257e-05,282.0,1418.0
1.72363e-05,16.0,1418.0
0.000407239,4882.0,3831.0
0.0560094,6482320.0,2063490.0
0.012468,1182840.0,687832.0
0.000588879,3626.0,2572.0
0.000470928,3190.0,2572.0
0.000141591,756.0,2572.0
0.000275642,2054.0,2572.0
0.0003301,2064.0,166.0
0.00802748,472098.0,54019.0
0.00185046,7085.0,5488.0
0.0115183,404398.0,9506.0
0.0227318,1946120.0,1387920.0
0.0303627,2375730.0,1387920.0
0.0133334,120773.0,4070.0
0.000280872,30919.0,3655.0
0.000290994,48002.0,3655.0
0.00674121,291583.0,8738.0
8.49317e-05,4398.0,1770.0
0.00153427,16521.0,11418.0
0.00167357,11779.0,2000.0
0.0354524,2136470.0,79171.0
0.00441639,145485.0,20108.0
0.000898083,13244.0,1274.0
0.000128888,665.0,1274.0
0.000873241,13471.0,1274.0
0.000465945,8961.0,850.0
0.03584,5708250.0,217918.0
0.000811185,33416.0,125668.0
0.00018316,6326.0,5621.0
0.0155557,340986.0,12388.0
0.00130398,8388.0,12388.0
0.00264857,58475.0,57300.0
0.000685447,9770.0,1701.0
0.00624259,381635.0,17576.0
0.00184672,239055.0,11718.0
0.00498644,202088.0,37692.0
0.00101925,61120.0,40960.0
0.0148984,495414.0,23435.0
0.000230356,2132.0,7510.0
0.00221625,444460.0,56474.0
0.00173702,109019.0,3990.0
0.00231081,109690.0,3990.0
0.000958613,8733.0,22043.0
0.00656674,145517.0,3242.0
0.00127721,40746.0,1081.0
0.00121521,42460.0,1081.0
0.000212813,2590.0,4832.0
0.000156887,1414.0,3222.0
0.0107673,891756.0,56021.0
2.4286e-05,120.0,1000.0
0.000106615,2043.0,1280.0
0.00339949,89038.0,52652.0
0.0014657,142735.0,7135.0
0.00241632,48648.0,31379.0
0.000569133,26101.0,1199.0
0.000216133,1336.0,1199.0
0.000491391,29682.0,1199.0
0.00055251,19906.0,800.0
4.06593e-05,53.0,800.0
0.000914343,5975.0,3858.0
0.000480755,4022.0,3858.0
5.76557e-05,354.0,3858.0
0.000590756,3648.0,2572.0
0.000511847,3274.0,2572.0
0.000156074,781.0,2572.0
0.000299384,2152.0,2572.0
4.21593e-05,410.0,2572.0
2.88193e-05,86.0,2572.0
0.0220484,905701.0,9446.0
0.0158203,703096.0,9446.0
0.0799617,12812300.0,1505780.0
0.00252619,203886.0,319401.0
0.047226,4609330.0,212934.0
3.06193e-05,299.0,108.0
0.000273692,3452.0,2572.0
0.00810899,85662.0,780.0
0.0144969,49661.0,780.0
4.24757e-05,823.0,654.0
0.0152147,1584140.0,45330.0
0.00574057,113776.0,488379.0
0.0209497,3201490.0,488379.0
5.3529e-05,1400.0,505.0
1.83163e-05,124.0,505.0
5.4189e-05,1404.0,505.0
2.75327e-05,710.0,515.0
0.00035496,3513.0,2572.0
7.6102e-05,668.0,2572.0
0.000111388,1418.0,2572.0
1.91527e-05,219.0,2572.0
1.4523e-05,41.0,2572.0
0.00269793,44327.0,31379.0
0.0003752,2769.0,2572.0
0.000126018,576.0,2572.0
3.0316e-05,52.0,538.0
