time,nnz
0.0106782,419316.0
0.00251851,122880.0
0.00233946,158694.0
0.00331044,405551.0
0.000624632,14848.0
0.000396926,4096.0
0.000617325,14848.0
3.65227e-05,174.0
2.5806e-05,325.0
1.76797e-05,61.0
0.00141642,10835.0
0.00153632,80523.0
0.00147148,29943.0
5.65957e-05,1354.0
0.00150479,66328.0
0.000986005,6776.0
0.000646941,3879.0
0.000630308,3631.0
0.000159474,798.0
0.0434718,3707290.0
0.00890365,510119.0
0.0632705,2437950.0
0.0163587,1426120.0
0.0111054,835058.0
0.00928568,1017760.0
0.0054231,173455.0
0.0133882,1307980.0
3.53327e-05,390.0
0.0322278,4415000.0
0.0214117,2187900.0
0.010248,674663.0
0.00118752,72441.0
0.00148417,91523.0
0.0269642,643821.0
0.0998906,13987900.0
0.069344,6961770.0
0.000212313,1928.0
0.0151249,202499.0
0.00675673,140290.0
0.00174673,20182.0
9.1265e-05,2793.0
0.00712077,14440.0
0.00837139,764042.0
0.033749,4891640.0
6.7202e-05,972.0
0.0137293,511960.0
3.80693e-05,396.0
0.00111509,96999.0
0.000216446,1030.0
0.000551753,21063.0
0.000137421,3899.0
0.00284781,27192.0
0.000939926,6066.0
0.000570136,4854.0
8.6025e-05,475.0
7.25487e-05,1414.0
0.00052302,4553.0
8.7735e-05,1387.0
0.000726623,8227.0
0.000165307,2453.0
0.000691631,3613.0
0.00016192,682.0
0.010625,773523.0
0.0257638,1179260.0
0.0160072,624811.0
0.00833553,119369.0
0.0211806,1041040.0
0.0112568,632582.0
0.000762352,31341.0
0.00163374,97536.0
0.00591013,282627.0
6.03087e-05,876.0
0.00826949,599141.0
0.00499891,265982.0
0.000815392,34777.0
0.00974262,887206.0
0.0139026,1020860.0
0.00282977,69765.0
0.0270069,2212050.0
0.0274141,2255720.0
1.76163e-05,47.0
0.00090717,46207.0
4.61327e-05,318.0
2.68663e-05,377.0
9.12683e-05,377.0
0.000255558,791.0
9.48983e-05,376.0
0.000362353,889.0
0.000306528,907.0
0.000125184,476.0
0.00192997,192651.0
8.15253e-05,260.0
0.000224272,4179.0
0.0066928,370521.0
